,To,From,Reason for dishing,Server,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,day_of_week,tag,Kmean tag
6500,GriffGreen,liviade,joining last soft gov call,Telegram,te praise,0.0,0.0,0.0,0.0,0.8184389113647164,0.18156108863528367,Monday,TEC2,#3 cluster
6501,GriffGreen,daithiC,finding dlt project PS forgot defi thingy shared tec general discord channel 5hrs ago,Telegram,te praise,0.0,0.0,0.0,0.0,0.8184389113647164,0.18156108863528367,Tuesday,TEC1,#3 cluster
6502,GriffGreen,GriffGreen,joining commons stack simulator sync sooooo close issues tackle,Telegram,cs ddev team,0.0,0.0,0.0,0.0,0.0,1.0,Wednesday,TEC5,#6 cluster
6503,GriffGreen,JessicaZartler,hard work legal forum post,Telegram,te praise,0.0,0.0,0.0,0.0,0.8184389113647164,0.18156108863528367,Wednesday,TEC1,#3 cluster
6504,GriffGreen,GriffGreen,fun blog post round,Telegram,te praise,0.0,0.0,0.0,0.0,0.0,1.0,Friday,TEC1,#6 cluster
6505,GriffGreen,Tonga2020,giving praise powers,Telegram,duplicate,0.0,0.0,0.0,0.0,0.0,1.0,Saturday,TEC16,#6 cluster
6506,burrrata,Tonga2020,basically lectures dao book club,Telegram,te praise,0.0025999392015150415,0.006499848003787605,0.1624962000946901,0.5358762086126563,0.26843833852726673,0.024089465560084202,Saturday,TEC1,#2 cluster
6507,burrrata,GriffGreen,donating commons stack iteration gitcoin grant helping us raise 14 000 dai build future high functioning public goods focused economies,Telegram,commons stack,0.0014768911843616689,0.009230569902260432,0.15384283170434052,0.4654502680603296,0.23315962650639446,0.1368398126423133,Wednesday,TEC2,#2 cluster
6508,burrrata,Tonga2020,basically lectures dao book club,Telegram,duplicate,0.0,0.0,0.0,0.0,0.0,1.0,Saturday,TEC1,#6 cluster
6509,VitorMarthendal,GriffGreen,help reaching awesome milestone going release simulator donors gitcoin grant tonight everything merged master starting look dreamy https sim commonsstack org,Telegram,cs ddev team,0.001733038376999108,0.007582042899371099,0.1805248309374071,0.4884478888753179,0.24467990480334884,0.07703229410755605,Wednesday,TEC2,#2 cluster
6510,VitorMarthendal,GriffGreen,joining merge master party happening right push puppy finish line,Telegram,cs ddev team,0.0017589614239421204,0.007329005933092169,0.17101013843881727,0.47680715161194037,0.2388486696979051,0.10424607289430286,Wednesday,TEC3,#2 cluster
6511,VitorMarthendal,iviangita,hitting first milestone commons simulator,Telegram,te praise,0.0020068636324883527,0.008361931802034803,0.1393655300339134,0.48724844269284373,0.2440790620337006,0.11893816980501916,Sunday,TEC5,#2 cluster
6512,VitorMarthendal,GriffGreen,joining commons stack simulator sync continuing push project finish line,Telegram,cs ddev team,0.0014851282056905478,0.009282051285565925,0.15470085475943207,0.46804621001336005,0.23446002076489003,0.13202573497106135,Wednesday,TEC5,#2 cluster
6513,VitorMarthendal,GriffGreen,joining commons stack simulator sync yesterday continuing push project finish line,Telegram,cs ddev team,0.0014851282056905478,0.009282051285565925,0.15470085475943207,0.46804621001336005,0.23446002076489003,0.13202573497106135,Wednesday,TEC5,#2 cluster
6514,VitorMarthendal,GriffGreen,joining commons stack simulator sync sooooo close issues tackle,Telegram,cs ddev team,0.0014851282056905478,0.009282051285565925,0.15470085475943207,0.46804621001336005,0.23446002076489003,0.13202573497106135,Wednesday,TEC5,#2 cluster
