,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,tags
4132,aidanbrodieo,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Telegram,2021-03-05,TE Praise,35.0,500.0,40.0,0.0008127328046,0.8398238981,0.8398238981,aidanbrodieo,Jake,Metaverde,Griff,#13 Mar 12,,,,TE Praise,Telegram:TE Praise,TEC15
4133,stan#3519,Krisjones,for dropping into the Onboarding Help channel when they couldn't see the rest of the server - you should all have the onboarded role now and have made it through the security process 🙂 ,Commons Stack,2021-03-08,praise,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,stan#3519,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Commons Stack:praise,TEC6
4134,Smokyish,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,Smokyish,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4135,oedth,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,oedth,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4136,michaelr10,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,michaelr10,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4137,loie_giveth,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,loie_giveth,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4138,lkngtn,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,lkngtn,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4139,felixfalafel,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,felixfalafel,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4140,cpt_grog,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,cpt_grog,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4141,BlockEnthusiast,Krisjones,for dropping into the Onboarding Help channel when they couldn't see the rest of the server - you should all have the onboarded role now and have made it through the security process 🙂 ,Commons Stack,2021-03-08,praise,25.0,500.0,100.0,0.0007906872343,0.8170434755,1.656867374,BlockEnthusiast,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Commons Stack:praise,TEC6
4142,BlairV,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Telegram,2021-03-12,TE Praise,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,BlairV,Jake,Metaverde,Griff,#13 Mar 12,,,,TE Praise,Telegram:TE Praise,TEC15
4143,antoniopaglino,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-12,Commons Stack,25.0,500.0,100.0,0.0007906872343,0.8170434755,0.8170434755,antoniopaglino,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,TEC15
4144,sknuth#9426,JessicaZartler,for joining our Swiss Association!!! 🥳 ,Commons Stack,2021-03-12,general,25.0,500.0,30.0,0.0006277176491,0.6486415708,0.6486415708,sknuth#9426,Jake,Metaverde,Griff,#13 Mar 12,,,,general,Commons Stack:general,TEC15
